City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
Kruisfontein, 986717, ZA, -34, 24.73, 62.01, 92, 100, 1.01
Traralgon, 2146108, AU, -38.18, 146.53, 46.99, 89, 74, 6.26
Bulungu, 2316259, CD, -4.55, 18.6, 74.05, 90, 100, 2.68
Pabradė, 596473, LT, 55, 25.78, 47.52, 100, 40, 10.29
Norman Wells, 6089245, CA, 65.28, -126.83, 19.4, 100, 90, 4.32
Iława, 3097902, PL, 53.6, 19.57, 49.98, 95, 0, 1.01
Laas, 3175096, IT, 46.62, 10.7, 50.34, 81, 40, 6.93
Ekhabi, 2122614, RU, 53.51, 142.97, 39.97, 93, 100, 21.9
La Ronge, 6050066, CA, 55.1, -105.28, 24.8, 68, 90, 6.93
San Fernando, 1690039, PH, 15.03, 120.69, 77, 88, 90, 18.34
Madimba, 878141, TZ, -10.4, 40.33, 77.16, 81, 62, 8.23
Pompéia, 3453242, BR, -22.11, -50.17, 86.4, 48, 75, 7.45
Nantucket, 4944903, US, 41.28, -70.1, 51.91, 58, 75, 16.11
Santa Vitória do Palmar, 3449747, BR, -33.52, -53.37, 73.49, 75, 100, 14.74
Srednekolymsk, 2121025, RU, 67.45, 153.68, 12.4, 92, 57, 1.52
Saldanha, 3361934, ZA, -33.01, 17.94, 62.6, 67, 95, 9.17
Tsogni, 2400547, GA, -2.79, 10.1, 75.76, 90, 100, 7.45
Mexico, 1699805, PH, 15.06, 120.72, 77, 88, 90, 18.34
Maxixe, 1039536, MZ, -23.86, 35.35, 75.09, 88, 0, 6.93
Bilma, 2446796, NE, 18.69, 12.92, 76.98, 18, 0, 7.43
Clyde River, 5924351, CA, 70.47, -68.59, 15.8, 85, 90, 11.41
Northam, 2641434, GB, 51.03, -4.22, 47.32, 93, 0, 11.01
Talcahuano, 3870282, CL, -36.72, -73.12, 60.8, 48, 0, 14.99
Alapur, 1275163, IN, 27.96, 79.23, 71.29, 25, 0, 3.38
Margate, 2643044, GB, 51.38, 1.39, 50.23, 78, 100, 1.01
Entre Rios, 3464100, BR, -11.94, -38.08, 85.44, 54, 5, 12.46
Dingle, 1714733, PH, 11, 122.67, 75.29, 92, 100, 18.84
Los Llanos de Aridane, 2514651, ES, 28.66, -17.92, 66.94, 64, 40, 12.75
Ambon City, 1651531, ID, -3.7, 128.18, 75.99, 16, 63, 2.06
Birobidzhan, 2026643, RU, 48.8, 132.95, 36.54, 81, 0, 3.27
Talara, 3691582, PE, -4.58, -81.27, 68.41, 73, 55, 13.27
Carballo, 3126369, ES, 43.21, -8.69, 48.31, 76, 20, 9.17
Bonfim, 3405215, BR, 3.08, -59.95, 95.11, 40, 80, 3.71
Odesskoye, 1496380, RU, 54.21, 72.97, 39.99, 98, 100, 8.7
Cortez, 5418104, US, 37.35, -108.59, 60.04, 27, 75, 12.75
Shīeli, 1524801, KZ, 44.17, 66.75, 46.27, 52, 100, 8.08
Ust'-Tarka, 1488074, RU, 55.57, 75.7, 37.72, 97, 100, 10.2
Emerald, 2167426, AU, -23.53, 148.17, 64.81, 72, 0, 10.29
Guerrero Negro, 4021858, MX, 27.98, -114.06, 71.92, 60, 87, 15.68
Ulladulla, 2145554, AU, -35.35, 150.47, 53.38, 71, 90, 18.34
Ponta do Sol, 2264557, PT, 32.67, -17.1, 64.8, 68, 20, 4.7
Abū Zabad, 380348, SD, 12.35, 29.25, 83.75, 22, 0, 10.51
Mongu, 906054, ZM, -15.25, 23.13, 78.62, 18, 26, 5.82
Pahrump, 5509851, US, 36.21, -115.98, 63.57, 34, 0, 3
Kavaratti, 1267390, IN, 10.57, 72.64, 81.59, 77, 100, 8.14
Port Hedland, 2063042, AU, -20.32, 118.57, 69.8, 88, 100, 6.93
Makakilo City, 5850554, US, 21.35, -158.09, 75.85, 74, 1, 2.46
Diyarb Najm, 358095, EG, 30.75, 31.44, 77.63, 53, 0, 11.41
Anadyr, 2127202, RU, 64.75, 177.48, 23, 100, 90, 4.47
Mahibadhoo, 1337605, MV, 3.78, 72.97, 82.47, 78, 100, 9.17
Porvoo, 660561, FI, 60.39, 25.67, 44.28, 96, 100, 9.1
Ji’an, 1806445, CN, 27.12, 114.98, 59.54, 70, 52, 2.59
Boa Vista, 3664980, BR, 2.82, -60.67, 95, 36, 75, 12.75
Bandar-e Lengeh, 141665, IR, 26.56, 54.88, 77, 41, 0, 4.7
Bushehr, 139817, IR, 28.97, 50.84, 73.4, 64, 0, 4.38
Sechura, 3691954, PE, -5.56, -80.82, 75.34, 55, 96, 14.56
Maracás, 3457854, BR, -13.44, -40.43, 85.01, 39, 5, 6.2
Slave Lake, 6149374, CA, 55.28, -114.77, 15.8, 66, 75, 5.82
Toktogul, 1538648, KG, 41.87, 72.94, 47.26, 51, 0, 0.54
Sambava, 1056899, MG, -14.27, 50.17, 73.04, 80, 1, 10.51
Marzuq, 72181, YE, 14.4, 46.47, 66.18, 34, 0, 2.98
Atar, 2381334, MR, 20.52, -13.05, 94.28, 12, 100, 7.16
Ust-Maya, 2013918, RU, 60.42, 134.53, 4.44, 93, 0, 0.67
Benguela, 3351663, AO, -12.58, 13.41, 75.6, 79, 100, 7.78
Thompson, 6165406, CA, 55.74, -97.86, 28.4, 58, 75, 12.75
Tignère, 2221513, CM, 7.37, 12.65, 68.74, 81, 100, 1.61
Matara, 1235846, LK, 5.95, 80.54, 78.12, 87, 100, 7.63
Jämsä, 656083, FI, 61.86, 25.19, 39.2, 93, 90, 10.29
Tefé, 3661944, BR, -3.35, -64.71, 91.4, 63, 75, 5.82
Mitsamiouli, 921786, KM, -11.38, 43.28, 79, 77, 0, 11.54
Skjervøy, 777682, NO, 70.03, 20.97, 37.4, 74, 40, 28.86
Prince Albert, 6113335, CA, 53.2, -105.77, 26.6, 53, 90, 11.41
Sinnamary, 3380290, GF, 5.38, -52.95, 85.78, 65, 2, 8.88
Singaraja, 1626932, ID, -8.11, 115.09, 80.29, 75, 88, 4.45
Vilyuysk, 2013392, RU, 63.76, 121.62, 18.54, 97, 100, 8.14
Cheney, 5789856, US, 47.49, -117.58, 27.27, 58, 0, 7.67
Mayo, 4362001, US, 38.89, -76.51, 48.54, 87, 90, 4.7
Korla, 1529376, CN, 41.76, 86.15, 46.99, 65, 92, 1.99
Sotik Post, 200308, KE, -0.78, 35.34, 59.25, 92, 100, 3.36
Diré, 2458624, ML, 12.28, -10.97, 80.64, 30, 1, 2.19
Jefferson City, 4392388, US, 38.58, -92.17, 46.29, 70, 90, 6.93
Tatarsk, 1490003, RU, 55.22, 75.98, 38.64, 96, 100, 10.94
Guatire, 3639898, VE, 10.48, -66.54, 83.82, 55, 40, 5.82
Katangli, 2122783, RU, 51.71, 143.23, 40.12, 86, 100, 22.37
Kanina, 922773, CD, -10.73, 25.47, 73.56, 37, 53, 3.29
Severo-Kuril'sk, 2121385, RU, 50.68, 156.12, 43.9, 83, 99, 5.26
Trincomalee, 1226260, LK, 8.57, 81.23, 80.17, 78, 99, 9.08
Batagay, 2027044, RU, 67.63, 134.63, 7.21, 87, 0, 3.78
Ürümqi, 1529102, CN, 43.8, 87.6, 41, 60, 0, 4.47
Hov, 3151719, NO, 60.7, 10.35, 45.52, 98, 100, 4.12
Gari, 1506676, RU, 59.43, 62.35, 26.19, 98, 100, 1.97
Storslett, 777381, NO, 69.77, 21.02, 37.4, 74, 40, 28.86
Ucluelet, 6171633, CA, 48.93, -125.55, 44.85, 58, 75, 3.36
Wencheng, 1791539, CN, 33.06, 113.8, 61.56, 46, 100, 1.92
San Policarpo, 1688696, PH, 12.18, 125.51, 79.3, 88, 100, 17.56
Tānsen, 1282714, NP, 27.87, 83.55, 56.53, 86, 0, 4.27
Vikhorevka, 2013399, RU, 56.12, 101.16, 19.22, 92, 0, 6.71
Faanui, 4034551, PF, -16.48, -151.75, 79.92, 69, 0, 4
Gushikawa, 1863495, JP, 26.35, 127.87, 67.53, 88, 1, 5.82
Viseu, 2732265, PT, 40.66, -7.91, 51.94, 90, 72, 4
Palmer, 4946620, US, 42.16, -72.33, 50.23, 49, 75, 9.17
Ilulissat, 3423146, GL, 69.22, -51.1, 17.6, 52, 46, 2.24
Muscat, 287286, OM, 23.61, 58.59, 77, 65, 0, 4.7
Inírida, 3671450, CO, 3.87, -67.92, 88.92, 59, 23, 2.13
Portland, 5746545, US, 45.52, -122.68, 42.58, 30, 20, 23.04
Rūdsar, 118191, IR, 37.14, 50.29, 61.95, 93, 0, 2.24
Eloy, 5294167, US, 32.76, -111.55, 77.36, 36, 75, 3.36
Srikakulam, 1255647, IN, 18.3, 83.9, 76.26, 82, 0, 5.39
Oruzgan, 1131461, AF, 32.83, 66, 37.24, 73, 0, 1.48
North Branch, 5039421, US, 45.51, -92.98, 28, 86, 100, 4
Palmerston, 6301965, AU, -12.49, 130.98, 82.74, 74, 40, 6.93
Hervey Bay, 2146219, AU, -25.3, 152.85, 73.99, 92, 0, 3
Nichinan, 1855476, JP, 31.6, 131.37, 58.57, 71, 0, 4.45
Ikongo, 1064234, MG, -21.88, 47.43, 68, 86, 95, 3.04
Pangnirtung, 6096551, CA, 66.15, -65.71, 17.6, 72, 40, 3.36
Amazar, 2027806, RU, 53.86, 120.88, 31.1, 94, 100, 1.86
Pisco, 3932145, PE, -13.7, -76.22, 70.03, 64, 4, 13.87
Arawa, 2100633, PG, -6.21, 155.54, 76.15, 76, 67, 1.66
Leh, 1264976, IN, 34.17, 77.58, 29.14, 86, 100, 3.22
Bahía Blanca, 3865086, AR, -38.72, -62.27, 67.95, 38, 98, 14.32
Felanitx, 2517750, ES, 39.47, 3.15, 66.9, 73, 40, 13.87
Olafsvik, 3414079, IS, 64.89, -23.71, 43.07, 82, 100, 27.34
Sorong, 1626542, ID, -0.88, 131.25, 78.85, 83, 99, 5.14
Lorengau, 2092164, PG, -2.02, 147.27, 81.55, 77, 100, 5.59
Gamba, 2400547, GA, -2.65, 10, 76.78, 88, 100, 7.74
Praia da Vitória, 3372760, PT, 38.73, -27.07, 65.68, 68, 20, 8.41
Murgab, 1218612, TM, 37.5, 61.97, 57.2, 40, 0, 6.93
Dzilam González, 3529654, MX, 21.28, -88.93, 83.98, 74, 90, 10.56
Montevideo, 3441575, UY, -34.83, -56.17, 73.11, 94, 90, 11.41
Saint Anthony, 5044290, US, 45.02, -93.22, 27.84, 74, 90, 6.93
Gimli, 5961417, CA, 50.63, -96.99, 25.93, 98, 83, 10
Sura, 486163, RU, 53.89, 45.74, 38.5, 80, 10, 8.52
Muros, 3115824, ES, 42.78, -9.06, 49.68, 85, 97, 1.01
Cajamarca, 3699088, PE, -7.16, -78.5, 68, 56, 75, 4.7
Ciudad Bolivar, 3645532, VE, 8.12, -63.55, 91.6, 50, 55, 7.02
Arkhara, 2027487, RU, 49.42, 130.08, 32.81, 95, 0, 4.7
Steinbach am Taunus, 2828737, DE, 50.17, 8.57, 56.07, 93, 40, 5.82
Abu Samrah, 172515, SY, 35.3, 37.18, 70.92, 22, 13, 7.58
Yumen, 1528998, CN, 40.28, 97.2, 32.86, 78, 22, 11.45
Lompoc, 5367788, US, 34.64, -120.46, 63.28, 63, 90, 10.29
Broken Hill, 2173911, AU, -31.95, 141.43, 41, 80, 0, 4.7
Båtsfjord, 780717, NO, 70.63, 29.72, 33.8, 69, 75, 16.11
Burnie, 2173125, AU, -41.07, 145.92, 41.85, 72, 0, 8.01
Lethem, 3379316, GY, 3.38, -59.8, 95.83, 39, 72, 6.46
Antalaha, 1071296, MG, -14.9, 50.28, 70.56, 83, 2, 7.31
Ussel, 2971298, FR, 45.55, 2.32, 51.01, 69, 100, 7.45
Riacho de Santana, 3451448, BR, -13.61, -42.94, 88.52, 40, 48, 6.02
Omsukchan, 2122493, RU, 62.53, 155.8, 25.68, 96, 100, 4.9
Eureka, 5563397, US, 40.8, -124.16, 53.31, 100, 40, 8.9
Senigallia, 3166740, IT, 43.71, 13.22, 57.33, 100, 0, 2.24
Husavik, 2629833, IS, 66.04, -17.34, 42.8, 81, 75, 9.17
Rafaela, 3839479, AR, -31.25, -61.49, 77.5, 71, 70, 7
Wilmington, 4499379, US, 34.23, -77.94, 74.98, 73, 90, 4
Gemeente Wageningen, 2745087, NL, 51.97, 5.67, 50.56, 93, 75, 8.05
Prince George, 6113365, CA, 53.92, -122.75, 18.95, 78, 1, 6.93
Mehamn, 778707, NO, 71.04, 27.85, 35.6, 74, 0, 13.87
Ca Mau, 1586443, VN, 9.18, 105.15, 75.69, 94, 30, 2.86
Rio Grande, 3451138, BR, -32.03, -52.1, 78.01, 76, 11, 5.01
Mahon, 2514301, ES, 39.89, 4.27, 68, 72, 20, 18.34
Souillac, 933995, MU, -20.52, 57.52, 75.2, 73, 75, 12.75
Grindavik, 3416888, IS, 63.84, -22.43, 41, 86, 75, 6.93
Brae, 2654970, GB, 60.4, -1.35, 50, 81, 40, 16.11
Tuy Hoa, 1563281, VN, 13.08, 109.3, 74.57, 89, 99, 3.2
Ossora, 2122389, RU, 59.24, 163.07, 38.25, 81, 100, 12.1
Brownsville, 4676740, US, 25.9, -97.5, 87.01, 62, 75, 19.46
Areosa, 2742765, PT, 41.72, -8.86, 51.85, 87, 40, 5.82
Iquitos, 3696183, PE, -3.75, -73.25, 95, 44, 75, 9.17
Coyhaique, 3894426, CL, -45.58, -72.07, 53.6, 58, 40, 5.82
Pucallpa, 3693345, PE, -8.38, -74.55, 91.4, 55, 40, 6.93
Paraná, 3841956, AR, -31.73, -60.52, 78.01, 76, 2, 1.99
Port Augusta, 2063056, AU, -32.5, 137.77, 53.6, 54, 90, 9.17
Alyangula, 2079582, AU, -13.85, 136.42, 82.4, 78, 40, 5.82
Ayan, 2027316, RU, 56.45, 138.17, 27.19, 88, 0, 19.04
Hualmay, 3939761, PE, -11.1, -77.61, 69.19, 67, 15, 10.83
Kalino, 554153, RU, 58.25, 57.61, 30.13, 95, 100, 0.85
Phalodi, 1259813, IN, 27.13, 72.37, 78.82, 17, 0, 9.42
Apastovo, 581359, RU, 55.2, 48.51, 33.8, 74, 20, 13.42
Muroto-misakicho, 1856392, JP, 33.28, 134.15, 63.75, 61, 79, 5.88
Am Timan, 245338, TD, 11.03, 20.28, 80.96, 32, 99, 2.13
Pāsighāt, 1260206, IN, 28.07, 95.33, 71.15, 82, 1, 2.86
Ballina, 2177069, AU, -28.87, 153.57, 64.74, 88, 90, 5.82
Ontario, 5379439, US, 34.06, -117.65, 63.54, 68, 90, 11.41
Avera, 4231997, US, 33.19, -82.53, 77.68, 69, 75, 2.77
Kenora, 5991056, CA, 49.82, -94.43, 23, 79, 75, 8.05
Duki, 1179515, PK, 30.15, 68.57, 56.61, 29, 0, 3.31
Tautira, 4033557, PF, -17.73, -149.15, 82.2, 69, 75, 8.05
Micheweni, 153955, TZ, -4.97, 39.83, 78.37, 81, 0, 8.46
Piteå, 603570, SE, 65.32, 21.48, 37.4, 93, 75, 26.4
Beecher, 4985521, US, 43.09, -83.69, 47.41, 42, 1, 9.17
Canyon, 5518239, US, 34.98, -101.92, 38.3, 86, 90, 16.11
Ahipara, 2194098, NZ, -35.17, 173.17, 58.96, 87, 10, 6.06
Narsīpatnam, 1261748, IN, 17.67, 82.62, 80.6, 88, 40, 2.24
Cabinda, 2243271, AO, -5.55, 12.2, 77.58, 82, 86, 9.04
Lianran, 1803886, CN, 24.92, 102.48, 57.22, 100, 0, 6.71
Tanout, 2439155, NE, 14.97, 8.89, 84.11, 14, 0, 10.13
Arrecife, 2521570, ES, 28.96, -13.55, 71.6, 64, 20, 13.87
Idlib, 169389, SY, 35.93, 36.63, 66.2, 42, 0, 2.24
Bozhou, 1816234, CN, 33.88, 115.77, 56.84, 61, 95, 2.19
Isabela, 1710519, PH, 6.71, 121.97, 75.2, 100, 90, 13.87
Mastic Beach, 5126209, US, 40.77, -72.85, 52.14, 50, 1, 4.7
Qaqortoq, 3420846, GL, 60.72, -46.03, 39.2, 55, 100, 12.75
Tieling, 2034439, CN, 42.29, 123.84, 43.59, 64, 0, 2.55
Bambous Virieux, 1106677, MU, -20.34, 57.76, 72.73, 73, 75, 12.75
Bandarbeyla, 64814, SO, 9.49, 50.81, 76.35, 78, 1, 14.03
Bambanglipuro, 1650434, ID, -7.95, 110.28, 77.59, 90, 99, 6.42
Conde, 3385077, BR, -7.26, -34.91, 84.2, 70, 75, 11.41
Lucapa, 145724, AO, -8.42, 20.74, 69.55, 91, 100, 3.24
Lakes Entrance, 2160735, AU, -37.88, 147.98, 50, 96, 100, 11.43
Zandvoort, 2744042, NL, 52.37, 4.53, 49.46, 87, 20, 13.87
Krnov, 3072656, CZ, 50.09, 17.7, 48.27, 96, 0, 1.01
Monrovia, 2274895, LR, 6.3, -10.8, 84.2, 79, 40, 6.24
Phan Thiet, 1571058, VN, 10.93, 108.1, 75.06, 91, 100, 2.64
Dukat, 2125906, RU, 62.55, 155.55, 23.74, 98, 100, 3.89
Pindobaçu, 3453827, BR, -10.74, -40.36, 95.05, 28, 82, 4.47
Fairbanks, 5861897, US, 64.84, -147.72, 25.86, 92, 90, 2.91
Chumikan, 2025256, RU, 54.72, 135.31, 29.73, 90, 0, 20.15
Bilibino, 2126682, RU, 68.05, 166.44, 14.47, 91, 97, 1.86
San Cristobal, 3628473, VE, 7.77, -72.22, 86, 62, 40, 13.87
Touros, 3386213, BR, -5.2, -35.46, 84.2, 74, 40, 14.99
Lochearn, 4360954, US, 39.34, -76.72, 45.91, 76, 90, 4.7
Ajdabiya, 89113, LY, 30.76, 20.23, 73.31, 67, 25, 7.38
Marsá Maţrūḩ, 352733, EG, 31.35, 27.25, 73.4, 69, 40, 11.41
Swan River, 6160362, CA, 52.11, -101.27, 25.34, 87, 74, 10.47
Alice Springs, 2077895, AU, -23.7, 133.88, 59, 38, 0, 11.41
Kudahuvadhoo, 1337607, MV, 2.67, 72.89, 82.35, 78, 60, 9.78
Evensk, 2125693, RU, 61.95, 159.23, 32.36, 92, 100, 13.89
Faya, 110690, SA, 18.39, 42.45, 65.3, 77, 0, 1.95
Jalu, 86049, LY, 29.03, 21.55, 64.98, 48, 0, 1.74
St. George's, 3579925, GD, 12.06, -61.75, 87.8, 70, 40, 23.04
Weligama, 1223738, LK, 5.97, 80.42, 78.37, 87, 100, 7.25
Tarakan, 1624725, ID, 3.3, 117.63, 77.45, 87, 100, 9.98
Biak, 1637001, ID, -0.91, 122.88, 77.31, 75, 100, 5.08
Kahului, 5847411, US, 20.89, -156.47, 80.17, 65, 20, 3.36
Fukuechō, 1863997, JP, 32.69, 128.84, 65.53, 60, 0, 10.67
Donskoye, 565289, RU, 45.46, 41.97, 57.09, 82, 0, 4.47
Moose Factory, 6078372, CA, 51.26, -80.61, 28.4, 68, 90, 8.05
Nizhniy Ufaley, 520473, RU, 55.92, 59.98, 35.04, 95, 100, 2.68
Walvis Bay, 3359638, NA, -22.96, 14.51, 59.94, 77, 0, 5.82
Dhidhdhoo, 1337612, MV, 6.88, 73.1, 80.78, 80, 92, 12.73
Warmbad, 3352263, NA, -28.45, 18.73, 78.57, 16, 24, 10.83
Bagn, 3162199, NO, 60.82, 9.55, 39.16, 98, 0, 4.09
Yulara, 6355222, AU, -25.24, 130.99, 62.6, 33, 81, 12.75
Okato, 2185763, NZ, -39.2, 173.88, 60.17, 88, 64, 5.01
Wawa, 2319078, NG, 9.9, 4.42, 80.4, 42, 100, 3.29
Yerbogachën, 2012956, RU, 61.28, 108.01, 23.94, 91, 100, 3.13
Macaé, 3458266, BR, -22.37, -41.79, 73.4, 73, 75, 9.17
Celestún, 3531368, MX, 20.87, -90.4, 83.48, 71, 18, 12.57
Kitale, 191220, KE, 1.02, 35.01, 60.89, 90, 99, 1.1
Ulety, 2014369, RU, 51.36, 112.48, 31.28, 91, 100, 13.42
Havre-St-Pierre, 5972291, CA, 50.23, -63.6, 39.2, 41, 75, 13.87
Waddān, 2209055, LY, 29.16, 16.14, 70.11, 42, 0, 9.51
Bud, 4255151, US, 39.45, -86.18, 51.03, 61, 90, 8.05
Muli, 1337617, MV, 2.92, 73.57, 82.26, 79, 100, 10.58
Kolpashevo, 1502862, RU, 58.31, 82.91, 26.15, 98, 95, 10.51
New Haven, 4839373, US, 41.4, -72.93, 52.61, 46, 1, 9.17
Gayny, 561698, RU, 60.31, 54.32, 26.56, 96, 100, 2.8
Marsh Harbour, 3571913, BS, 26.54, -77.06, 80.22, 76, 100, 10.69
Peleduy, 2018069, RU, 59.63, 112.74, 28.99, 97, 100, 7
Vestmannaeyjar, 3412093, IS, 63.44, -20.27, 42.8, 81, 75, 2.24
Alofi, 4036284, NU, -19.06, -169.92, 73.4, 94, 100, 10.29
Rajshahi, 1185128, BD, 24.37, 88.6, 75.45, 82, 8, 2.68
Nemuro, 2128975, JP, 43.32, 145.57, 48.61, 73, 0, 17.81
Acapulco de Juárez, 3533462, MX, 16.86, -99.89, 87.8, 74, 40, 6.93
Kropotkin, 540761, RU, 45.44, 40.58, 64, 63, 60, 5.66
Plettenberg Bay, 964712, ZA, -34.05, 23.37, 62.62, 87, 100, 7.11
Narón, 3115739, ES, 43.52, -8.15, 52.63, 76, 20, 9.17
Shimoda, 1852357, JP, 34.67, 138.95, 61.11, 62, 100, 7.47
Hue, 1580240, VN, 16.47, 107.6, 71.6, 94, 40, 4.7
Kawambwa, 176555, ZM, -9.79, 29.08, 75.16, 43, 59, 3.47
Shigony, 494531, RU, 53.39, 48.68, 40.82, 75, 0, 14.45
Villa Unión, 3980125, MX, 23.2, -106.23, 89.94, 63, 40, 5.82
Sioux Lookout, 6148373, CA, 50.1, -91.92, 24.8, 62, 90, 4.7
Vila Velha, 3445026, BR, -20.33, -40.29, 74.34, 94, 90, 4.7
Biggar, 2655692, GB, 55.62, -3.52, 47.35, 80, 86, 5.01
‘Ewa Beach, 5855051, US, 21.32, -158.01, 75.76, 74, 1, 1.66
Oriximiná, 3393471, BR, -1.77, -55.87, 96.71, 36, 25, 2.84
Praia, 3374333, CV, 14.92, -23.51, 84.2, 54, 0, 23.04
Jesús Carranza, 3526538, MX, 17.43, -95.03, 84.85, 71, 69, 7.18
Thio, 2138103, NC, -21.62, 166.22, 64.4, 88, 0, 1.12
Los Zacatones, 3974149, MX, 22.95, -102.05, 75.2, 25, 5, 2.59
